副標籤,溫馨,泡麵番,超能力,青春,校園,靈異神怪,魔法,偶像,料理,勵志,BL,血腥暴力,18禁,音樂,喜劇,競技,闔家觀賞,懸疑,戀愛,異世界,科幻,冒險,時間穿越,推理,奇幻,親情,黑暗,感人,戰爭,特攝,機甲,動作,歷史,職場,悠閒,運動
血腥暴力,0.0,0.0,18.52,0.0,2.86,12.5,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,16.67,0.0,5.66,0.0,7.75,0.0,11.76,6.21,0.0,42.86,0.0,14.29,0.0,0.0,14.74,0.0,0.0,0.0,0.0
運動,0.0,0.0,7.41,23.73,9.52,0.0,0.0,0.0,0.0,27.03,0.0,0.0,0.0,0.0,0.0,58.82,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,0.0
超能力,0.0,0.0,0.0,3.39,8.57,18.75,0.0,0.0,0.0,10.81,0.0,23.81,0.0,0.0,1.96,14.71,0.0,12.5,0.0,0.0,7.69,2.33,0.0,29.41,2.07,0.0,0.0,0.0,0.0,0.0,0.0,13.68,0.0,0.0,0.0,6.9
偶像,0.0,0.0,0.0,16.95,9.52,0.0,0.0,0.0,0.0,10.81,0.0,0.0,0.0,58.82,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
戰爭,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62,3.1,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,33.33,4.21,36.36,0.0,0.0,0.0
黑暗,0.0,0.0,0.0,0.0,2.86,6.25,6.25,0.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,4.65,0.0,17.65,3.45,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.0
機甲,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,2.82,0.0,23.08,1.55,0.0,0.0,0.0,0.0,0.0,0.0,35.71,0.0,0.0,4.21,0.0,0.0,0.0,0.0
時間穿越,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.0
18禁,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
特攝,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
